assetid,name,description,alertid,createdtimeutc
3160974,ACC - Rain -Kumeu @ Maddrens,Max TP108 ARI,23690,05:00.6
3160986,ACC - Rain -Birkdale (Inwards Res.) NSCC03,Max TP108 ARI,23701,27:37.3
3160995,ACC - Rain -Albert Park Acc rainfall,Max TP108 ARI,23711,36:38.3
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,39:11.6
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,48:04.0
21526520,ACC - Rain - Clarks Beach @ Golf Course,Max TP108 ARI,23775,50:05.7
11271878,ACC - Rain - Mangemangeroa @ Reserve,Max TP108 ARI,23630,01:10.8
3160971,ACC - Rain -Longford Park Rainfall,Max TP108 ARI,23687,02:29.5
3160935,ACC - Rain -Waiatarua Rainfall,Max TP108 ARI,23657,05:13.3
3160971,ACC - Rain -Longford Park Rainfall,Max TP108 ARI,23687,05:20.6
7828287,ACC - Rain - Drury @ Turner Road,Max TP108 ARI,23637,19:37.7
3160963,ACC - Rain -Okahu Bay Bowling Club Rainfall,Max TP108 ARI,23679,43:20.5
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,54:17.2
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,50:40.4
3160972,ACC - Rain -Leigh Rainfall,Max TP108 ARI,23688,50:07.8
3160984,ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Max TP108 ARI,23699,41:46.1
3160984,ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Max TP108 ARI,23699,34:35.0
3160942,ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Max TP108 ARI,23664,36:53.1
3160954,ACC - Rain -Reservoir Bush Road,Max TP108 ARI,23650,43:02.1
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,Max TP108 ARI,23642,53:05.8
3160961,ACC - Rain -Oratia Cemetery Oratia,Max TP108 ARI,23677,12:17.4
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,13:25.5
3160975,ACC - Rain -Keeling Road @ Utilitech Training Centre,Max TP108 ARI,23691,18:59.7
3160982,ACC - Rain -Cutler Park New Lynn,Max TP108 ARI,23697,22:19.0
3160966,ACC - Rain -Mt Albert Grammer rainfall,Max TP108 ARI,23682,34:39.5
11271879,ACC - Rain - Puhinui @ Botanical Gardens,Max TP108 ARI,23631,38:00.3
3160994,ACC - Rain -Alexandra Park Rway rainfall,Max TP108 ARI,23710,39:11.6
7828287,ACC - Rain - Drury @ Turner Road,Max TP108 ARI,23637,41:32.1
3160947,ACC - Rain -Te Muri Rainfall,Max TP108 ARI,23668,32:42.1
3160982,ACC - Rain -Cutler Park New Lynn,Max TP108 ARI,23697,06:41.9
3160938,ACC - Rain -Whangamaire @ Culvert,Max TP108 ARI,23660,28:24.8
3160990,ACC - Rain -Awanohi Rainfall @ Okura,Max TP108 ARI,23706,01:32.0
3160945,ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Max TP108 ARI,23772,23:02.3
3161018,ACC - Rain -Orewa @ Treatment Ponds,Max TP108 ARI,23734,29:47.1
3160996,ACC - Rain -Albany @ Hts Rd NSCC06,Max TP108 ARI,23712,45:35.1
11315277,ACC - Rain - Takapuna Rain @ Library,Max TP108 ARI,23627,05:03.4
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,04:57.2
7828280,ACC - Rain - Churchill Park Rainfall,Max TP108 ARI,23644,19:46.9
